name,symbol,raise,when,launchpad_name,launchpad_image
AQA,AQA,300000.0,2025-04-12,Kommunitas,https://img.cryptorank.io/ido-platforms/60x60.kommunitas1640849703240.png
Blink Game AI,BLINK,650000.0,2025-04-13,BSCS,https://img.cryptorank.io/ido-platforms/60x60.bsc_station1628073925867.png
FreeDogs,FREEDOG,50000.0,2025-04-13,Gate.io Startup,https://img.cryptorank.io/ido-platforms/60x60.gate_io1657013791498.png
DragonSwap,DRG,2000000.0,2025-04-14,Fjord Foundry,https://img.cryptorank.io/ido-platforms/60x60.fjord_foundry1704722500376.png
DoubleZero,2Z,,2025-04-15,Coinlist,https://img.cryptorank.io/ido-platforms/60x60.coinlist1684739218551.png
Lucky Kat,KOBAN,400000.0,2025-04-16,DAO Maker,https://img.cryptorank.io/ido-platforms/60x60.dao_maker1617200987249.png
BIGA,BIGA,580000.0,2025-04-18,KingdomStarter,https://img.cryptorank.io/ido-platforms/60x60.kingdom_starter1680166816252.png
FNT Crypto,FNTIO,100000.0,2025-04-21,BSCS,https://img.cryptorank.io/ido-platforms/60x60.bsc_station1628073925867.png
Cryptaine,CRY,450000.0,2025-04-22,BSCS,https://img.cryptorank.io/ido-platforms/60x60.bsc_station1628073925867.png
Lunch Protocol,Lunch,500000.0,2025-04-23,Fjord Foundry,https://img.cryptorank.io/ido-platforms/60x60.fjord_foundry1704722500376.png
