category,percentage,coin_key
Founders & Project,10.0,eos
Investors,90.0,eos
Founders&Project,16.53,ethereum
Investors,83.47,ethereum
Direct-sign-up prog,50.0,stellar
Partnership Program,25.0,stellar
Bitcoin Program,20.0,stellar
Stellar Development,3.0,stellar
Seed Investor,2.0,stellar
ICO,57.61,cardano
Staking Rewards,30.86,cardano
Team,11.52,cardano
Initial Supply,60.425,iota
IOTA Foundation,7.075,iota
Tangle Ecosystem Association,12.0,iota
UAE Entity,12.0,iota
Contributors,5.0,iota
IOTA Airdrop,3.5,iota
Private Sales,15.75,tron
ICO Investors,40.25,tron
Tron Foundation,34.0,tron
Peiwo Huanle Co,10.0,tron
Employee Wages,56.0,zcash
Marketing & PR,14.0,zcash
Consulting,10.0,zcash
Team,5.72,zcash
Travel & Expenses,5.0,zcash
Security Auditing,3.0,zcash
Software,2.0,zcash
Zcash Foundation,1.44,zcash
Electronic Coin Comp,1.19,zcash
Seed Round,1.02,zcash
 Venture Round,0.63,zcash
Founders & Project,50.0,bnb
Public Sale,40.0,bnb
Angel Investors,10.0,bnb
Investors,85.0,waves
Founders & Project,15.0,waves
Public Sale,50.0,kucoin-shares
Founders,35.0,kucoin-shares
Angel Investors,15.0,kucoin-shares
Mining Rewards,40.0,zilliqa
 Community Sale,27.26,zilliqa
 Zilliqa Research,12.0,zilliqa
Anquan,10.0,zilliqa
Zilliqa team,5.0,zilliqa
Advisors,3.0,zilliqa
 Early Contributors ,2.74,zilliqa
Private Round,40.0,iostoken
Strategic Round,5.0,iostoken
Team,10.0,iostoken
Community,5.0,iostoken
Marketing,2.5,iostoken
Advisors,2.5,iostoken
Treasury,35.0,iostoken
Private Round,31.45,tomochain
Mining Rewards,17.0,tomochain
Treasury,16.0,tomochain
Team & Advisors,15.9,tomochain
Seed Round,15.65,tomochain
Public Sale,4.0,tomochain
